[2013-12-25 11:47:03] DrJenkins, quitting. (Ping timeout: 240 seconds)
[2013-12-25 11:47:33] DrJenkins, joining. (#selenium)
[2013-12-25 11:51:49] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 11:52:16] DrJenkins, joining. (#selenium)
[2013-12-25 11:56:56] DrJenkin_, joining. (#selenium)
[2013-12-25 11:57:25] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 12:01:18] DrJenkin_, quitting. (Ping timeout: 252 seconds)
[2013-12-25 12:01:35] DrJenkins, joining. (#selenium)
[2013-12-25 12:05:58] DrJenkins, quitting. (Read error: Connection reset by peer)
[2013-12-25 12:06:12] DrJenkins, joining. (#selenium)
[2013-12-25 12:10:55] DrJenkin_, joining. (#selenium)
[2013-12-25 12:11:21] DrJenkins, quitting. (Ping timeout: 272 seconds)
[2013-12-25 12:15:31] DrJenkin_, quitting. (Ping timeout: 272 seconds)
[2013-12-25 12:15:34] DrJenkins, joining. (#selenium)
[2013-12-25 12:20:02] DrJenkins, quitting. (Ping timeout: 264 seconds)
[2013-12-25 12:20:13] DrJenkins, joining. (#selenium)
