[2015-06-20 14:45:00] ctgriffiths, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:00] terratoma, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:00] bl4ckscor3, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:00] titusfortner, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:01] AutomatedTester, quitting. (Ping timeout: 255 seconds)
[2015-06-20 14:45:01] bl4ckscor3, joining. (#selenium)
[2015-06-20 14:45:01] trcjr_, changing nick to trcjr.
[2015-06-20 14:45:01] AutomatedTester_, changing nick to AutomatedTester.
[2015-06-20 14:45:01] AutomatedTester, quitting. (Changing host)
[2015-06-20 14:45:02] AutomatedTester, joining. (#selenium)
[2015-06-20 14:45:02] smyers_, changing nick to smyers.
[2015-06-20 14:45:02] trcjr, quitting. (Changing host)
[2015-06-20 14:45:02] trcjr, joining. (#selenium)
[2015-06-20 14:47:57] ninsei, joining. (#selenium)
[2015-06-20 14:50:44] smccarthy, joining. (#selenium)
[2015-06-20 14:52:08] Padawan, quitting. (Ping timeout: 250 seconds)
[2015-06-20 14:53:59] Xceed-, joining. (#selenium)
[2015-06-20 14:54:37] ss_much, quitting. (Ping timeout: 246 seconds)
[2015-06-20 14:54:52] Padawan, joining. (#selenium)
[2015-06-20 14:55:16] Zumer_, quitting. (Ping timeout: 246 seconds)
[2015-06-20 14:55:33] Zumer, joining. (#selenium)
[2015-06-20 14:55:48] ss_much, joining. (#selenium)
[2015-06-20 14:56:27] Xceed, quitting. (Ping timeout: 246 seconds)
[2015-06-20 14:56:28] Xceed-, changing nick to Xceed.
[2015-06-20 14:58:47] fabrice31, joining. (#selenium)
[2015-06-20 15:01:57] Ardesco, quitting. (Quit: Ardesco)
[2015-06-20 15:04:07] fabrice31, quitting. (Ping timeout: 276 seconds)
[2015-06-20 15:10:07] rorycb, joining. (#selenium)
[2015-06-20 15:15:06] rorycb, quitting. (Ping timeout: 264 seconds)
[2015-06-20 15:47:31] smccarthy, quitting. (Quit: Leaving...)
[2015-06-20 15:53:44] paolo, joining. (#selenium)
[2015-06-20 16:11:41] nirvdrum, joining. (#selenium)
[2015-06-20 16:24:04] nirvdrum, quitting. (Ping timeout: 276 seconds)
[2015-06-20 16:36:48] lilalinuxHH, joining. (#selenium)
[2015-06-20 16:39:39] lilalinuxHamburg, quitting. (Ping timeout: 246 seconds)
[2015-06-20 16:39:40] lilalinuxHH, changing nick to lilalinuxHamburg.
[2015-06-20 16:46:18] octomeow, quitting. (Ping timeout: 245 seconds)
[2015-06-20 16:47:40] fabrice31, joining. (#selenium)
[2015-06-20 16:52:19] fabrice31, quitting. (Ping timeout: 264 seconds)
[2015-06-20 17:03:17] seljenkinsbot, joining. (#selenium)
[2015-06-20 17:08:43] ato, joining. (#selenium)
[2015-06-20 17:09:08] arcanine, joining. (#selenium)
[2015-06-20 17:11:41] rorycb, joining. (#selenium)
[2015-06-20 17:12:03] akafred, joining. (#selenium)
[2015-06-20 17:12:03] ColinSauce, joining. (#selenium)
[2015-06-20 17:14:40] trauty, joining. (#selenium)
[2015-06-20 17:14:40] nicegraham______, joining. (#selenium)
[2015-06-20 17:14:40] Sithyrra, joining. (#selenium)
[2015-06-20 17:14:40] sahazel, joining. (#selenium)
[2015-06-20 17:14:40] tobie, joining. (#selenium)
[2015-06-20 17:16:19] rorycb, quitting. (Ping timeout: 264 seconds)
[2015-06-20 17:18:18] noahsussman, joining. (#selenium)
